trstepF lambdaF nF trstepR lambdaR nR maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T)
100 0.0 5 100 10.0 5 0.99916 12.00000 0.99916 11.99200 0.97684 11.01186 0.98731 9.50010 0.97746 3.90422 0.92795 1.36928 
100 10.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99200 0.99818 11.64209 0.99704 8.53080 0.99454 2.83629 0.98244 1.23982 
100 10.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99902 0.99665 11.68889 0.99800 8.31920 0.98605 2.84478 0.97160 1.65116 
100 10.0 5 100 0.0 5 0.99916 11.99805 0.99916 11.99805 0.99293 11.67556 0.98691 10.56816 0.97324 4.46156 0.94323 1.89292 
100 10.0 5 100 0.0 5 0.99916 11.99902 0.99916 11.96612 0.99769 11.79560 0.99800 10.92354 0.99486 4.15636 0.95405 1.78050 
100 10.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99902 0.99751 11.80730 0.98664 10.01975 0.98990 3.65095 0.95990 1.90358 
100 1.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99298 0.99012 11.64532 0.97252 8.71321 0.97636 3.53652 0.96997 1.90513 
100 1.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99737 0.99586 11.87830 0.98369 11.25239 0.96213 4.46156 0.92446 1.71829 
100 1.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.98956 0.99769 11.92981 0.98958 10.77562 0.98489 4.28309 0.95975 1.84956 
100 1.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.98566 0.99293 11.81813 0.98865 10.81741 0.96603 5.43161 0.89433 2.29016 
100 1.0 5 100 0.0 5 0.99916 11.98126 0.99916 11.85183 0.99867 11.66022 0.99086 9.69782 0.99534 3.27627 0.97064 1.80048 
100 0.1 5 100 0.0 5 0.99916 12.00000 0.99916 11.99902 0.99458 11.77128 0.98090 10.43636 0.97969 3.87726 0.94963 1.78683 
