trstepF lambdaF nF trstepR lambdaR nR maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T)
100 0.0 5 100 1e-06 5 0.99818 11.97253 0.99702 11.74974 0.91871 6.44078 0.86567 2.17116 0.87796 2.41888 0.87439 2.48763 
100 0.0 5 100 1e-06 5 0.99916 11.98810 0.99204 11.92247 0.92702 10.07386 0.89223 3.60766 0.85783 1.57895 0.90059 2.34310 
100 0.0 5 100 1e-06 5 0.99867 11.99219 0.99360 11.71301 0.96070 9.03740 0.86302 2.32069 0.86641 2.02017 0.85870 2.22703 
100 0.0 5 100 1e-06 5 0.99720 11.94096 0.97584 11.78732 0.83293 7.41648 0.87595 2.18252 0.74763 1.36723 0.86952 2.16925 
100 0.0 5 100 1e-06 5 0.99916 11.91549 0.98741 11.16887 0.88617 8.07674 0.81399 4.23630 0.76510 2.09604 0.76046 2.41075 
100 0.0 5 100 1e-07 5 0.99916 11.99200 0.99375 11.62578 0.84551 8.97142 0.88119 5.31020 0.91021 4.10374 0.90538 2.18058 
100 0.0 5 100 1e-07 5 0.98768 11.89252 0.83201 8.01866 0.70301 5.27350 0.65514 3.25255 0.59008 1.49554 0.75219 2.76281 
100 0.0 5 100 1e-07 5 0.98665 11.86621 0.95158 10.72346 0.84967 6.98335 0.86660 6.31963 0.80048 3.07546 0.81781 2.52923 
100 0.0 5 100 1e-07 5 0.99916 11.99902 0.96628 11.74484 0.86645 10.89931 0.66578 8.73213 0.76908 2.69840 0.89564 2.69515 
100 0.0 5 100 1e-07 5 0.99867 11.99103 0.99476 11.26758 0.64671 7.12081 0.90566 3.86108 0.82231 1.66226 0.86810 2.06810 
100 0.0 5 100 1e-07 5 0.99507 11.91395 0.78308 8.93923 0.71418 10.10017 0.69391 2.02659 0.58653 1.49978 0.90891 2.67368 
100 0.0 5 100 1e-07 5 0.99592 11.93151 0.81627 10.69340 0.69838 9.43862 0.62748 7.67806 0.60160 5.79266 0.83323 2.48345 
100 0.0 5 100 1e-07 5 0.99916 11.98227 0.92619 10.78238 0.86930 10.97456 0.60974 3.43887 0.51113 6.40064 0.77435 2.82347 
100 0.0 5 100 1e-07 5 0.99867 11.95618 0.99818 11.46237 0.96691 9.23102 0.77822 4.54540 0.76270 2.97273 0.80696 2.43468 
100 0.0 5 100 1e-07 5 0.99720 11.94985 0.99623 11.22420 0.95351 7.37103 0.87562 5.00652 0.84320 1.97517 0.84282 1.96140 
100 0.0 5 100 0.1 5 0.99916 11.98126 0.99720 11.92241 0.92327 7.63700 0.78156 3.21339 0.80392 3.36788 0.88222 2.60324 
100 0.0 5 100 0.1 5 0.99800 11.97766 0.92317 9.22883 0.92782 8.20177 0.83810 2.91760 0.78867 1.47466 0.80022 1.78865 
100 0.0 5 100 0.1 5 0.99916 11.99200 0.93318 10.16535 0.95659 9.97907 0.79966 4.65243 0.76177 2.78068 0.78950 2.85196 
